ex_answer_id,ex_question_id,text,is_correct,order,audio_url
1,1,Every story trial never attention choice fast enjoy happen a,True,1,
2,1,Here control affect task simply draw return probably much hold model marriage,False,2,
3,1,Child executive important focus benefit probably,False,3,
4,1,Strong candidate,False,4,
5,2,Dark magazine better number student,False,1,
6,2,Moment red eight hand paper audience us decade man,False,2,
7,2,Life police guess,True,3,
8,2,State some around pay more same strong,False,4,
9,3,War whether best,False,1,
10,3,Mother country moment eat personal condition,False,2,
11,3,Indeed black police group learn professor third coach Congress,True,3,
12,3,Measure price move outside value,False,4,
13,4,Nearly you suddenly include plan step food,False,1,
14,4,None degree she unit effect,True,2,
15,4,Language however risk work other military year few feel,False,3,
16,4,Democrat fire sign wall state try memory number,False,4,
17,5,Choice also green catch happen old,True,1,
18,5,Eight feel now notice,False,2,
19,5,Safe rich society,False,3,
20,5,Major together reflect standard,False,4,
21,6,Organization feel room,False,1,
22,6,High sister two free they its,True,2,
23,6,Thank dinner present own activity since him,False,3,
24,6,Modern floor north force recently check purpose,False,4,
25,7,Wife send offer bed it skill,False,1,
26,7,Car bar number any human be,False,2,
27,7,Its recently seven lose,True,3,
28,7,Maintain present cultural pattern save,False,4,
29,8,Drug entire involve range office,True,1,
30,8,Public interest give fly order,False,2,
31,8,Show college glass,False,3,
32,8,Perhaps key under do rate choose rock beat science drug,False,4,
33,9,Unit than star add really born late age,True,1,
34,9,Science deep national seek nature performance yeah,False,2,
35,9,Heavy town money eight art,False,3,
36,9,Smile peace apply pressure across home,False,4,
37,10,Production tree growth blue fall third hit woman meet,False,1,
38,10,Tough machine others because current,True,2,
39,10,Night Republican always two figure majority season adult range,False,3,
40,10,Personal door within may speech personal these,False,4,
41,11,Want we difficult game,False,1,
42,11,Prevent because him whether partner personal dinner,False,2,
43,11,Of interview fine painting last capital present ok,True,3,
44,11,Television finally relate model career yet wish certain,False,4,
45,12,True fish newspaper we brother fish they,False,1,
46,12,She they,False,2,
47,12,Which field seat start PM scene charge,False,3,
48,12,Blood continue several,True,4,
