help_id,attempt_id,question_asked,timestamp,type
1,10,Individual man reach each budget.,2025-10-16T02:18:23,explain
2,26,Manage wife out gun lose job election rather window stand health run adult.,2025-12-23T04:56:31,example
3,27,Clear around floor there career clear evening information.,2025-12-23T05:33:13,example
4,31,Any factor police baby create physical share out cold follow first suddenly son.,2026-04-29T23:32:50,hint
5,33,Rate read benefit oil statement actually million health machine future.,2026-04-29T23:37:20,hint
6,42,Bill choice determine could today party story moment mother necessary.,2025-12-29T07:58:48,example
7,43,Individual trouble bring capital admit give reality catch kind would.,2025-12-29T07:45:23,example
8,48,Shake garden report agreement sport develop task central dinner by candidate bad.,2025-04-19T11:08:34,hint
9,66,Back simple serious amount blue soldier message.,2026-04-10T17:29:35,explain
10,76,Light training analysis feeling act benefit.,2026-02-09T18:36:43,example
11,77,Turn day top continue goal before suffer walk we.,2026-01-31T19:43:29,explain
12,80,Goal talk sit party measure attention standard shake.,2026-05-30T05:50:57,explain
13,88,Describe course example top Mr wind better degree mean remain hand operation keep whatever Congress.,2025-05-10T07:48:10,example
14,90,Wonder interest method imagine seven fire letter mind many guess explain reveal.,2026-02-27T17:57:25,example
15,104,Foreign break exist outside find wish.,2026-03-22T14:43:07,explain
16,106,Difficult imagine world into task thus sort voice happen actually purpose public.,2026-03-22T14:58:57,hint
17,110,Just probably be century husband opportunity big understand within ask window full organization wrong but.,2025-08-21T04:46:41,hint
18,116,Rise everything require old event smile popular hundred live owner.,2025-12-26T21:35:13,hint
19,126,Would memory challenge lawyer business majority discuss wall ahead.,2025-09-20T07:34:50,example
20,127,Store marriage ago condition painting force.,2025-09-20T07:24:51,explain
21,129,Perform benefit baby seem should society dark product make.,2025-09-20T07:35:19,example
22,134,My special music adult shake wrong they budget late table.,2025-08-08T06:08:12,example
23,138,Least allow news team field relationship man care resource.,2025-05-30T12:34:06,explain
24,140,Shake notice make network much like no choose argue.,2025-05-30T12:38:10,explain
25,149,Manager wife pay good within fly agreement and student give score agree.,2025-01-09T12:42:42,explain
26,153,Game best generation group goal product easy possible or travel assume figure front after for leave tell nothing.,2025-01-25T17:25:37,explain
27,163,Entire receive onto worry help hope occur space beyond push.,2025-01-31T01:46:47,explain
28,169,Market specific property coach federal wide cut player wind away sure degree enter father.,2025-12-08T01:51:12,example
29,170,I difficult sea begin such behind front attack song little decide somebody prepare few sound.,2025-12-08T01:46:21,hint
30,173,Professional finish increase economy middle public natural thing physical might cost material produce.,2025-01-18T07:02:38,hint
31,174,Environmental point speak table trade various risk.,2025-11-09T07:57:38,example
32,182,Mission hair challenge character rate feel.,2026-02-16T00:20:43,example
33,186,Improve team treat plant suffer environment expert civil.,2026-03-31T11:40:42,example
34,187,Door draw change agree someone financial magazine yard instead town dark evening ahead smile everyone nearly popular.,2026-03-31T11:45:04,example
35,193,White magazine after teacher base own test too.,2026-04-15T00:04:24,example
36,202,To public though however style successful door number matter building professional oil simple moment market.,2026-04-10T16:11:45,explain
37,207,Draw business southern forget once hope security door institution.,2025-12-07T23:09:33,explain
38,209,Blood degree ever impact television argue mouth record both nation.,2025-12-07T22:27:50,example
39,216,Radio white these view guy resource start again whom.,2025-07-18T10:51:19,explain
40,217,Alone science sometimes area true public education his police red total rate.,2025-07-18T11:16:53,explain
41,218,Term tax home travel hotel within eight.,2025-07-18T11:08:58,explain
42,222,View series father teacher civil keep first speech popular.,2025-10-16T16:23:14,example
43,223,Ever bag single man say.,2025-10-16T16:59:02,example
44,228,Response theory star station recognize media goal own spend scene law.,2026-04-02T10:35:16,explain
45,232,Seven political contain kitchen political able.,2026-04-02T10:29:42,explain
46,240,Pick finish bank citizen might.,2026-03-13T20:41:01,example
47,247,Suggest rate society floor.,2026-05-01T22:38:48,explain
48,248,Them card community or foreign example base happen hour help strong now again age.,2026-05-01T22:00:06,hint
