attempt_id,session_id,question_id,answer_chosen,correct,time_spent_seconds,timestamp,asked_for_help,help_type,audio_replays,audio_interrupts,selected_awnser
1,1,34,135,False,106,2025-12-15T05:48:25,False,,0,0,C
2,2,49,193,True,273,2026-04-09T01:58:31,False,,1,3,C
3,2,46,181,True,297,2026-04-09T01:58:57,False,,0,0,C
4,2,31,124,True,298,2026-04-09T01:09:31,False,,0,0,B
5,2,12,47,False,65,2026-04-09T00:40:38,False,,0,0,B
6,2,30,117,True,93,2026-04-09T00:41:40,False,,4,3,B
7,2,24,96,True,191,2026-04-09T01:07:53,False,,4,1,B
8,2,32,125,True,176,2026-04-09T01:03:16,False,,1,3,D
9,3,12,46,False,222,2025-10-16T02:18:24,False,,4,3,A
10,3,49,193,True,182,2025-10-16T02:18:02,True,explain,3,1,B
11,3,27,107,True,200,2025-10-16T02:01:49,False,,4,3,D
12,4,49,196,False,140,2026-01-25T03:12:08,False,,0,0,D
13,4,25,99,True,140,2026-01-25T03:24:28,False,,0,0,A
14,4,41,161,False,231,2026-01-25T03:21:04,False,,0,0,C
15,4,46,181,True,191,2026-01-25T02:46:26,False,,4,1,A
16,4,18,71,False,208,2026-01-25T02:50:16,False,,0,0,B
17,4,17,66,True,183,2026-01-25T02:48:26,False,,1,3,A
18,5,14,55,True,101,2026-04-27T05:31:01,False,,0,0,A
19,5,39,154,True,146,2026-04-27T05:54:08,False,,0,0,A
20,5,30,117,True,5,2026-04-27T05:50:49,False,,4,1,B
21,5,46,181,True,28,2026-04-27T05:53:47,False,,0,0,B
22,5,34,133,True,226,2026-04-27T05:31:44,False,,0,0,C
23,6,42,167,True,24,2025-12-23T05:10:12,False,,0,0,B
24,6,13,52,False,140,2025-12-23T04:56:35,False,,0,0,B
25,6,46,184,False,40,2025-12-23T04:50:47,False,,0,0,A
26,6,41,164,True,278,2025-12-23T04:56:28,True,example,0,0,C
27,6,20,78,False,241,2025-12-23T05:33:01,True,example,0,0,D
28,6,13,49,False,139,2025-12-23T05:10:36,False,,0,0,C
29,7,24,96,True,112,2026-04-29T23:38:14,False,,0,0,A
30,7,23,92,False,214,2026-04-29T23:32:28,False,,0,0,D
31,7,26,102,False,245,2026-04-29T23:32:40,True,hint,0,0,A
32,7,39,154,True,116,2026-04-29T23:36:14,False,,0,0,B
33,7,30,117,True,57,2026-04-29T23:37:08,True,hint,0,0,B
34,7,33,130,True,263,2026-04-29T23:37:41,False,,0,0,A
35,7,5,20,False,212,2026-04-29T23:38:09,False,,0,0,C
36,8,28,111,True,237,2025-11-25T03:51:42,False,,3,3,C
37,9,1,1,True,226,2025-12-29T08:22:58,False,,0,0,C
38,9,45,179,False,71,2025-12-29T08:00:53,False,,0,0,A
39,9,13,50,True,264,2025-12-29T07:49:24,False,,0,0,D
40,9,17,66,True,270,2025-12-29T07:53:22,False,,0,0,C
41,9,18,71,False,298,2025-12-29T08:21:33,False,,0,0,B
42,9,12,45,False,195,2025-12-29T07:58:45,True,example,0,0,C
43,9,40,160,True,190,2025-12-29T07:45:12,True,example,1,1,D
44,9,15,60,True,188,2025-12-29T08:19:03,False,,0,0,D
45,10,1,2,False,65,2025-04-19T11:03:56,False,,0,0,C
46,10,4,16,False,88,2025-04-19T10:36:44,False,,0,0,B
47,10,41,164,True,172,2025-04-19T10:35:59,False,,3,1,B
48,10,35,139,True,201,2025-04-19T11:08:29,True,hint,0,0,A
49,10,8,30,False,33,2025-04-19T11:07:40,False,,0,0,C
50,11,46,181,True,253,2026-04-09T08:56:23,False,,0,0,B
51,11,34,134,False,173,2026-04-09T09:00:18,False,,0,0,C
52,11,7,27,True,253,2026-04-09T08:09:33,False,,0,0,B
53,11,9,33,True,186,2026-04-09T09:23:59,False,,0,0,A
54,12,24,96,True,275,2025-11-02T21:58:09,False,,0,0,A
55,12,22,87,True,267,2025-11-02T21:06:03,False,,4,2,C
56,12,33,130,True,178,2025-11-02T20:57:26,False,,0,0,C
57,12,19,75,True,171,2025-11-02T21:54:29,False,,0,0,B
58,12,19,75,True,175,2025-11-02T20:58:22,False,,4,2,C
59,12,39,153,False,175,2025-11-02T21:36:25,False,,0,0,A
60,12,33,129,False,233,2025-11-02T21:30:55,False,,0,0,C
61,12,50,199,False,257,2025-11-02T21:17:42,False,,0,0,B
62,13,46,181,True,80,2026-04-10T17:31:03,False,,0,0,B
63,13,31,124,True,150,2026-04-10T17:31:32,False,,0,0,C
64,13,19,75,True,218,2026-04-10T17:22:28,False,,0,0,C
65,13,7,27,True,293,2026-04-10T17:19:49,False,,4,3,A
66,13,24,96,True,91,2026-04-10T17:29:24,True,explain,0,0,D
67,14,51,201,True,84,2026-04-30T09:29:00,False,,2,3,B
68,14,26,103,True,193,2026-04-30T09:29:23,False,,0,0,B
69,14,32,128,False,33,2026-04-30T09:23:17,False,,0,0,C
70,14,16,63,False,177,2026-04-30T09:28:46,False,,0,0,C
71,15,8,29,True,252,2026-02-09T18:54:02,False,,4,3,A
72,15,51,201,True,51,2026-02-09T18:20:33,False,,0,0,D
73,15,4,14,True,194,2026-02-09T19:04:36,False,,0,0,D
74,15,50,200,True,119,2026-02-09T18:38:36,False,,0,0,D
75,15,50,199,False,40,2026-02-09T18:52:28,False,,0,0,D
76,15,37,148,False,284,2026-02-09T18:36:34,True,example,0,0,A
77,16,24,95,False,45,2026-01-31T19:43:19,True,explain,2,1,A
78,17,4,14,True,126,2026-03-15T18:27:20,False,,0,0,D
79,17,38,149,True,125,2026-03-15T18:19:27,False,,0,0,D
80,18,42,165,False,113,2026-05-30T05:50:32,True,explain,0,0,D
81,18,49,195,False,132,2026-05-30T06:14:28,False,,0,0,C
82,18,9,36,False,267,2026-05-30T06:09:11,False,,2,2,B
83,18,26,103,True,216,2026-05-30T05:26:25,False,,0,0,A
84,18,42,167,True,227,2026-05-30T05:37:16,False,,0,0,D
85,18,42,167,True,286,2026-05-30T05:44:40,False,,0,0,C
86,18,37,146,True,50,2026-05-30T05:26:18,False,,0,0,C
87,18,40,160,True,172,2026-05-30T05:28:58,False,,4,3,C
88,19,18,72,True,10,2025-05-10T07:47:56,True,example,0,0,D
89,19,38,149,True,270,2025-05-10T06:21:01,False,,0,0,A
90,20,9,33,True,74,2026-02-27T17:57:18,True,example,4,1,B
91,20,15,60,True,290,2026-02-27T18:50:03,False,,0,0,A
92,20,44,173,False,256,2026-02-27T19:05:17,False,,0,0,C
93,20,16,62,True,172,2026-02-27T18:30:21,False,,0,0,C
94,20,29,116,False,195,2026-02-27T18:55:29,False,,0,0,D
95,20,36,141,False,177,2026-02-27T17:36:35,False,,0,0,B
96,20,41,163,False,135,2026-02-27T19:07:26,False,,0,0,C
97,20,27,105,False,193,2026-02-27T18:12:22,False,,0,0,C
98,21,17,65,False,154,2026-02-20T17:28:49,False,,4,3,C
99,21,7,25,False,171,2026-02-20T17:22:33,False,,1,2,A
100,21,27,107,True,167,2026-02-20T18:35:48,False,,3,0,A
101,21,13,49,False,261,2026-02-20T18:34:47,False,,0,0,D
102,21,27,105,False,255,2026-02-20T18:16:43,False,,1,2,B
103,21,36,143,True,263,2026-02-20T18:11:34,False,,1,3,A
104,23,39,154,True,156,2026-03-22T14:42:41,True,explain,0,0,C
105,23,2,7,True,97,2026-03-22T14:27:34,False,,0,0,D
106,23,8,30,False,262,2026-03-22T14:58:36,True,hint,0,0,C
107,23,1,1,True,192,2026-03-22T14:12:32,False,,0,0,A
108,23,1,1,True,76,2026-03-22T14:11:33,False,,0,0,D
109,24,13,49,False,233,2025-08-21T03:58:56,False,,0,0,B
110,24,16,62,True,132,2025-08-21T04:46:36,True,hint,0,0,D
111,24,23,90,True,108,2025-08-21T04:12:45,False,,4,2,C
112,24,27,106,False,174,2025-08-21T04:07:22,False,,0,0,D
113,25,4,15,False,247,2025-12-26T21:33:22,False,,0,0,B
114,25,21,82,True,187,2025-12-26T21:37:44,False,,0,0,D
115,25,3,11,True,43,2025-12-26T21:34:04,False,,0,0,B
116,25,34,133,True,108,2025-12-26T21:35:08,True,hint,0,0,C
117,25,13,50,True,123,2025-12-26T21:12:55,False,,0,0,C
118,25,19,76,False,46,2025-12-26T21:36:50,False,,0,0,D
119,25,4,16,False,79,2025-12-26T21:36:32,False,,0,0,B
120,27,26,102,False,176,2025-03-09T06:31:57,False,,0,0,C
121,27,37,146,True,38,2025-03-09T06:25:14,False,,0,0,C
