interaction_id,session_id,lesson_id,part_id,action,time_spent_seconds,audio_replays,audio_interrupts,timestamp
1,1,35,48,pause,211,0,0,2025-12-15T05:48:52
2,1,32,136,stop,330,5,3,2025-12-15T05:50:24
3,2,23,118,resume,843,3,4,2026-04-09T01:27:31
4,2,21,31,pause,129,0,0,2026-04-09T00:52:30
5,2,33,100,pause,151,0,0,2026-04-09T01:26:11
6,2,32,163,resume,670,0,0,2026-04-09T01:56:48
7,2,11,126,pause,201,3,3,2026-04-09T01:30:02
8,2,1,125,start,844,0,0,2026-04-09T01:09:47
9,2,42,127,pause,513,0,0,2026-04-09T01:12:30
10,2,32,43,start,41,0,0,2026-04-09T01:45:12
11,2,3,71,pause,305,2,3,2026-04-09T01:25:24
12,2,32,141,resume,596,0,0,2026-04-09T00:46:35
13,3,24,139,resume,52,0,0,2025-10-16T02:32:01
14,3,14,109,start,859,0,0,2025-10-16T02:26:16
15,3,3,116,pause,892,1,3,2025-10-16T02:37:42
16,3,16,54,resume,612,3,5,2025-10-16T02:23:56
17,3,40,36,resume,843,0,0,2025-10-16T02:02:09
18,3,23,137,pause,561,2,2,2025-10-16T02:43:50
19,3,37,69,stop,536,1,1,2025-10-16T02:42:58
20,3,4,71,stop,139,0,0,2025-10-16T02:28:51
21,3,10,183,pause,263,4,3,2025-10-16T01:58:39
22,4,25,116,start,823,0,0,2026-01-25T03:19:39
23,4,33,192,pause,387,4,3,2026-01-25T02:50:55
24,4,47,24,resume,479,3,0,2026-01-25T03:15:16
25,4,28,55,pause,340,0,0,2026-01-25T03:16:58
26,4,37,34,resume,506,0,0,2026-01-25T03:14:53
27,5,41,118,start,888,2,3,2026-04-27T05:41:00
28,6,45,34,stop,319,2,2,2025-12-23T04:54:47
29,6,6,96,resume,674,0,0,2025-12-23T05:02:00
30,6,20,186,resume,249,0,0,2025-12-23T05:28:22
31,6,7,1,pause,89,2,4,2025-12-23T05:08:04
32,6,1,3,resume,846,0,0,2025-12-23T04:57:30
33,6,45,34,pause,244,0,0,2025-12-23T05:23:45
34,6,7,27,pause,316,0,0,2025-12-23T04:59:09
35,7,44,37,start,586,0,0,2026-04-29T23:32:18
36,7,29,90,resume,653,0,0,2026-04-29T23:37:29
37,7,40,176,pause,232,0,0,2026-04-29T23:32:51
38,8,8,151,resume,369,4,2,2025-11-25T04:04:52
39,8,42,22,pause,625,5,5,2025-11-25T03:55:41
40,9,43,78,pause,631,0,0,2025-12-29T08:02:22
